experiment,run_name,status,param.analysis.backbone,param.analysis.dataset,param.analysis.max_samples,param.analysis.methods,param.analysis.num_encoders_found,param.dataset.image_size,param.dataset.name,param.dataset.num_classes,param.dataset.num_samples,param.test_param,param.batch_size,param.cudnn_benchmark,param.device,param.epochs,param.method.name,param.mlflow.enabled,param.mlflow.experiment_name,param.model.backbone,param.model.feature_dim,param.model.num_classes,metric.byol/alignment,metric.byol/effective_rank,metric.byol/mean_variance,metric.byol/rank_ratio,metric.byol/uniformity,metric.cka/byol_vs_supervised,metric.cka/moco_vs_byol,metric.cka/moco_vs_supervised,metric.cka/simclr_vs_byol,metric.cka/simclr_vs_moco,metric.cka/simclr_vs_supervised,metric.moco/alignment,metric.moco/effective_rank,metric.moco/mean_variance,metric.moco/rank_ratio,metric.moco/uniformity,metric.simclr/alignment,metric.simclr/effective_rank,metric.simclr/mean_variance,metric.simclr/rank_ratio,metric.simclr/uniformity,metric.supervised/alignment,metric.supervised/effective_rank,metric.supervised/mean_variance,metric.supervised/rank_ratio,metric.supervised/uniformity,metric.test_metric,metric.byol/best_loss,metric.byol/epoch_loss,metric.byol/training_hours,metric.moco/best_loss,metric.moco/epoch_loss,metric.moco/training_hours,metric.linear_eval/best_accuracy,metric.linear_eval/loss,metric.linear_eval/test_accuracy,metric.supervised/accuracy_100pct,metric.supervised/accuracy_10pct,metric.supervised/accuracy_1pct,metric.finetune/accuracy_100pct,metric.finetune/accuracy_10pct,metric.finetune/accuracy_1pct,metric.train/batch_loss,metric.train/best_loss,metric.train/epoch_loss,metric.train/epoch_time_s,metric.train/learning_rate,metric.train/total_time_hours
SSL_Benchmark_CIFAR10,representation_analysis_cifar10,FINISHED,resnet18,cifar10,500,"simclr,moco,byol,supervised",4,32,cifar10,,,,,,,,,,,,,,0.22776544094085693,104.0,0.001055023749358952,0.203125,-1.7591192722320557,0.6274970173835754,0.6722938418388367,0.4887605309486389,0.8460333943367004,0.7734100818634033,0.6258316040039062,0.48068201541900635,423.0,0.001094616251066327,0.826171875,-2.1533262729644775,0.3222857117652893,304.0,0.0012279481161385775,0.59375,-2.2944414615631104,0.698394775390625,404.0,0.0012756503419950604,0.7890625,-2.4040606021881104,,,,,,,,,,,,,,,,,,,,,,
test_exp,test_run,FINISHED,,,,,,32,cifar10,10,50000,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
ssl_byol,byol_cifar10_resnet18,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2613660719150152,0.26462761683341784,2.271595026784473,,,,,,,,,,,,,,,,,,
ssl_moco,moco_cifar10_resnet18,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.165681085831079,5.443188789563301,2.3593485977914597,,,,,,,,,,,,,,,
simclr_project,linear_eval_cifar10,FINISHED,,,,,,32,cifar10,10,,,128,True,cuda,100,simclr,True,simclr_project,resnet18,512,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.88,1.185384848538567,56.83,,,,,,,,,,,,
simclr_project,linear_eval_cifar10,FINISHED,,,,,,32,cifar10,10,,,128,True,cuda,100,simclr,True,simclr_project,resnet18,512,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.47,0.9348438868437277,65.46,,,,,,,,,,,,
simclr_project,supervised_cifar10,FINISHED,,,,,,32,cifar10,10,,,128,True,cuda,100,,True,simclr_project,resnet18,512,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.21,63.13,38.54,,,,,,,,,
simclr_project,finetune_cifar10,FINISHED,,,,,,32,cifar10,10,,,128,True,cuda,100,,True,simclr_project,resnet18,512,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1,71.86,61.81,,,,,,
simclr_project,linear_eval_cifar10,FINISHED,,,,,,32,cifar10,10,,,128,True,cuda,100,,True,simclr_project,resnet18,512,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.56,0.898051355196082,67.56,,,,,,,,,,,,
simclr_project,simclr_cifar10_100ep,FINISHED,,,,,,32,cifar10,10,,,128,True,cuda,100,,True,simclr_project,resnet18,512,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.173015117645264,4.143555092200255,4.145674898685553,78.1702492237091,4.866668573133559e-11,2.2777635269032586
